구간 / 차종,평일-1종,평일-2종,평일-3종,평일-4종,평일-5종,주말-1종,주말-2종,주말-3종,주말-4종,주말-5종
 공주JC ~ 공주2JC ,29089,710,1210,1291,2391,40961,313,830,431,844
 공주2JC ~ 공주 ,44247,946,1899,1837,2754,57266,408,1181,606,957
 공주 ~ 서세종 ,41406,866,1648,1769,2684,52866,371,967,579,929
 서세종 ~ 남세종 ,39004,885,1540,1685,2502,48616,380,886,533,853
 남세종 ~ 유성JC ,46800,1042,1813,1816,2730,55098,459,1049,579,949
 북공주JC ~ 공주3JC ,15159,235,689,545,363,16306,95,351,175,113
 공주3JC ~ 공주2JC ,15159,235,689,545,363,16306,95,351,175,113
 마곡사 ~ 마곡사JC ,1753,42,67,60,60,2726,18,43,20,22
 옥산JC ~ 서오창 ,6370,265,590,451,685,4860,61,373,112,184
 서오창 ~ 오창JC ,2819,161,282,327,515,2483,40,94,99,150
 동서울 ~ 산곡JC ,113628,6077,7542,5457,3775,125435,2267,4720,1972,1379
 산곡JC ~ 경기광주 ,113628,6077,7542,5457,3775,125435,2267,4720,1972,1379
 경기광주 ~ 경기광주JC ,95343,5047,6645,4781,3377,111119,1909,4163,1777,1211
 경기광주JC ~ 곤지암 ,73860,4547,5274,4331,2833,82320,1701,3101,1594,989
 곤지암 ~ 신둔 ,73249,4919,5905,5184,3669,86853,1846,3366,1883,1247
 신둔 ~ 서이천 ,72673,4825,5898,5184,3669,86363,1789,3363,1883,1247
 서이천 ~ 마장JC ,67829,4119,5681,5324,3690,81420,1407,3158,1936,1201
 마장JC ~ 호법JC ,67829,4119,5681,5324,3690,81420,1407,3158,1936,1201
 호법JC ~ 남이천 ,60956,3822,4930,4640,3659,70215,1401,2448,1636,1170
 남이천 ~ 일죽 ,55036,3423,4662,4300,3277,64380,1260,2383,1523,1047
 일죽 ~ 삼성 ,45397,2629,3582,3601,2734,54148,978,1906,1330,887
 삼성 ~ 대소 ,44336,2492,3583,3601,2735,53142,948,1902,1330,887
 대소 ~ 대소JC ,44951,2530,3735,3993,3133,53221,966,1874,1451,961
 대소JC ~ 진천 ,54135,2470,4082,4587,4156,65453,963,2158,1686,1375
 진천 ~ 증평 ,57989,2687,4517,4907,4510,67932,1078,2340,1800,1458
 증평 ~ 오창JC ,57572,2629,4452,4847,4511,67026,1075,2348,1799,1499
 오창JC ~ 오창 ,54753,2467,4170,4521,3996,64542,1035,2254,1699,1350
 오창 ~ 서청주 ,54416,2484,4334,4847,4301,63258,1023,2274,1784,1438
 서청주 ~ 남이JC ,52527,2207,3859,4986,4434,61916,783,1989,1802,1471
 비룡JC ~ 판암 ,39486,1394,2574,1892,1717,46800,533,2098,764,701
 판암 ~ 산내JC ,36183,1230,2496,1844,1681,43648,470,2076,738,676
 산내JC ~ 남대전 ,34744,1063,2387,1665,1344,42412,398,2031,664,555
 남대전 ~ 추부 ,24985,610,1927,1058,1023,35243,267,1871,452,422
 추부 ~ 금산 ,20182,398,1674,980,916,30374,203,1731,468,384
 금산 ~ 무주 ,16638,328,1490,873,950,25809,173,1592,390,379
 무주 ~ 덕유산 ,13461,285,1396,845,971,20564,144,1493,373,382
 덕유산 ~ 장수JC ,14102,303,1422,850,981,21766,158,1521,378,386
 장수JC ~ 서상 ,23209,521,2252,1761,2946,34836,244,2132,637,997
 서상 ~ 지곡 ,23015,506,2164,1674,2872,34166,234,2061,576,952
 지곡 ~ 함양JC ,23048,516,2174,1657,2888,34384,237,2078,579,966
 함양JC ~ 생초 ,22380,468,1908,1394,2608,33694,222,1909,503,851
 생초 ~ 산청 ,22375,472,1855,1325,2430,33756,223,1883,478,797
 산청 ~ 단성 ,22713,480,1851,1320,2450,34250,228,1867,471,807
 단성 ~ 서진주 ,23579,482,1801,1305,2423,36201,230,1800,459,791
 서진주 ~ 진주JC ,28738,649,1918,1343,3147,40889,325,1867,472,1079
 진주JC ~ 연화산 ,14662,385,955,267,577,21684,222,953,113,228
 연화산 ~ 고성 ,14963,393,948,267,610,21926,227,939,113,245
 고성 ~ 동고성 ,22013,597,1240,493,900,33280,328,1135,182,344
 동고성 ~ 북통영 ,23189,613,1267,482,956,34486,335,1144,175,329
 북통영 ~ 통영 ,16935,460,810,421,859,25585,243,664,144,288
 서평택JC ~ 청북 ,59362,3781,6983,6006,9612,67728,974,3141,1667,2961
 청북 ~ 평택JC ,62254,4122,7301,6456,9442,68216,1036,3213,1802,2959
 평택JC ~ 평택고덕 ,41009,2939,4991,4796,7359,39366,709,2019,1319,2269
 평택고덕 ~ 송탄 ,36560,2760,5032,4588,7070,34603,644,2020,1261,2162
 송탄 ~ 안성JC ,46013,3225,5550,5234,7612,42577,822,2218,1502,2392
 안성JC ~ 서안성 ,53550,3429,4629,4816,5644,51188,982,1633,1643,1833
 서안성 ~ 남안성 ,42388,2759,3694,3735,5059,42369,792,1187,1143,1698
 남안성 ~ 북진천 ,32975,2212,3556,3513,5048,38055,596,1128,1044,1788
 북진천 ~ 대소JC ,27591,1747,2790,3082,4544,33010,504,974,965,1629
 대소JC ~ 금왕꽃동네 ,27186,1274,2174,2266,4323,34750,398,955,757,1642
 금왕꽃동네 ~ 음성 ,23479,967,1644,1850,3914,32718,327,836,646,1507
 음성 ~ 서충주 ,19396,752,1347,1557,3858,27496,256,690,541,1503
 서충주 ~ 충주JC ,15951,558,958,1177,3203,23793,205,582,452,1319
 충주JC ~ 북충주2JC ,15965,474,983,1089,3230,26518,187,840,444,1389
 북충주2JC ~ 노은JC ,16220,485,995,1099,3258,26815,191,845,448,1398
 노은JC ~ 동충주 ,16995,511,1033,1142,3353,28033,204,872,465,1433
 동충주 ~ 제천JC ,12155,306,675,731,2804,21463,137,667,321,1212
 북충주 ~ 북충주2JC ,255,11,12,10,28,297,4,4,4,9
 평택JC ~ 평택 ,32019,1821,3275,2401,2798,36763,495,1519,675,929
 여주JC ~ 감곡 ,55077,1691,4735,5091,5187,75178,675,4282,2037,1877
 감곡 ~ 충주JC ,49238,1469,4342,4776,4326,68646,609,4107,1927,1556
 충주JC ~ 북충주JC ,46177,1431,4138,4689,4048,62077,585,3768,1885,1418
 북충주JC ~ 노은JC ,41754,1315,3831,4553,3877,56179,538,3509,1836,1362
 노은JC ~ 중앙탑 ,42924,1243,3502,4151,3519,56682,515,3159,1983,1513
 중앙탑 ~ 충주 ,42820,1241,3502,4151,3519,56682,515,3159,1983,1513
 충주 ~ 괴산 ,40043,1299,3880,4938,4274,53986,527,3460,1989,1489
 괴산 ~ 연풍 ,39907,1318,3904,5008,4455,53596,533,3447,2007,1544
 연풍 ~ 문경새재 ,40110,1350,3966,5184,4611,53824,543,3430,2077,1596
 문경새재 ~ 점촌함창 ,40579,1394,4072,5238,4637,54613,562,3543,2096,1604
 점촌함창 ~ 북상주 ,39498,1347,3848,5133,4571,52446,540,3343,2058,1578
 북상주 ~ 상주 ,40204,1304,3677,4818,4532,53393,521,3278,1936,1567
 상주 ~ 낙동강JC ,41730,1361,3795,4835,4595,55230,549,3370,1943,1592
 낙동강JC ~ 선산 ,57384,2061,5072,7425,7733,68343,727,3643,2749,2260
 선산 ~ 김천JC ,58121,2089,5088,7423,7851,68918,745,3655,2753,2306
 김천JC ~ 남김천 ,34205,906,2251,4331,5895,40015,304,1499,1551,1618
 남김천 ~ 성주 ,35628,993,2394,4446,6291,41804,335,1550,1582,1743
 성주 ~ 남성주 ,35853,1024,2411,4386,6360,41925,346,1547,1552,1764
 남성주 ~ 고령JC ,37070,1150,2558,4478,6574,42747,374,1586,1574,1844
 고령JC ~ 현풍JC ,36347,1170,2539,4510,6664,43160,386,1596,1593,1869
 현풍JC ~ 현풍 ,71602,2580,4683,5990,9418,83299,868,2918,2159,2735
 현풍 ~ 창녕 ,57809,1873,3753,5057,8686,73834,684,2664,1821,2460
 창녕 ~ 영산 ,57544,1907,3785,5056,8795,73720,692,2676,1810,2485
 영산 ~ 남지 ,57001,1859,3729,4886,8719,72649,678,2671,1737,2422
 남지 ~ 칠서 ,59298,1904,3688,4770,8728,75313,691,2652,1675,2465
 칠서 ~ 칠원JC ,64944,2443,4367,5458,10399,78674,856,2857,1922,2989
 칠원JC ~ 칠원 ,17887,705,1546,1348,1420,23371,246,1262,528,507
 여주JC ~ 남여주 ,12998,486,773,797,1039,17884,164,390,295,333
 남여주 ~ 서여주 ,9973,323,526,465,717,12939,112,273,179,223
 서여주 ~ 북여주 ,10914,391,713,421,580,12172,164,414,176,177
 북여주 ~ 남양평 ,7825,242,299,258,431,9149,101,166,105,135
 남양평 ~ 양평 ,5682,191,266,257,430,6574,79,139,104,135
 노은JC ~ 충주 ,42517,1343,3879,4608,3984,57411,552,3544,1850,1395
 군자 ~ 서안산 ,84350,3581,3933,3604,6161,83982,1225,2137,1219,1798
 서안산 ~ 안산 ,113846,5061,5785,5086,7497,99290,1676,2577,1619,2275
 안산 ~ 안산JC ,122920,5229,5671,5153,7492,108309,1763,2416,1640,2267
 안산JC ~ 둔대JC ,122152,5412,5503,5906,7535,123919,2105,2900,2140,2264
 둔대JC ~ 군포 ,133158,5803,6054,6423,8400,134289,2225,3135,2304,2500
 군포 ~ 동군포JC ,125766,5560,6104,6333,8205,128633,2184,3256,2274,2440
 동군포JC ~ 부곡 ,133824,5579,6122,6341,8385,135720,2183,3287,2330,2557
 부곡 ~ 북수원 ,130931,5506,6070,6223,7306,132218,2159,3257,2302,2365
 북수원 ~ 동수원 ,163481,6483,7392,7031,8632,158169,2550,3969,2620,2786
 동수원 ~ 신갈JC ,135021,6141,7582,6871,7857,140635,2403,4294,2565,2557
 신갈JC ~ 마성 ,124812,6701,9475,6920,7103,134536,2772,7058,2745,2377
 마성 ~ 용인 ,119720,6636,9094,6835,7069,126503,2746,6790,2664,2384
 용인 ~ 양지 ,104598,6229,8859,6795,6773,112657,2549,6647,2608,2292
 양지 ~ 덕평 ,85495,4170,7727,5950,6446,97599,1680,6107,2325,2212
 덕평 ~ 덕평휴게소 ,80976,3679,7362,6061,5825,94547,1393,5807,2338,2067
 덕평휴게소 ~ 호법JC ,80481,3664,7355,6059,5822,93905,1379,5802,2337,2064
 호법JC ~ 이천 ,104264,3847,9364,8082,7770,132496,1713,7628,3191,2720
 이천 ~ 여주JC ,91408,3143,8117,7339,7024,125034,1324,7215,3019,2523
 여주JC ~ 여주 ,39266,1521,3773,2605,2462,54745,689,3241,1171,860
 여주 ~ 문막 ,32781,1233,2894,1649,2011,49057,563,2663,666,728
 문막 ~ 만종JC ,31323,1291,2409,1596,1971,47499,650,2134,659,729
 만종JC ~ 원주JC ,36655,1030,1975,1321,1776,47610,511,1679,567,652
 원주JC ~ 원주 ,50987,1337,2710,1660,2049,70799,660,2281,726,750
