구간 / 차종,평일-1종,평일-2종,평일-3종,평일-4종,평일-5종,주말-1종,주말-2종,주말-3종,주말-4종,주말-5종
 가락JC ~ 가락2JC ,52179,1448,2821,1694,3914,59917,522,2282,595,1085
 가락2JC ~ 서부산 ,51130,1375,2726,1563,3679,58678,502,2251,556,1018
 가락 ~ 가락JC ,731,75,107,161,335,658,17,32,46,94
 가락2 ~ 가락2JC ,1050,73,94,131,235,1239,21,31,40,67
 진례JC ~ 남진례 ,7659,583,823,2202,6897,7725,171,205,483,1566
 남진례 ~ 대청 ,7667,584,823,2202,6898,7730,171,205,483,1566
 대청 ~ 진해 ,7699,585,824,2204,6904,7757,171,205,483,1567
 진해 ~ 진해본선 ,897,202,309,1101,4188,627,67,67,244,841
 동서천 ~ 동서천JC ,2187,62,124,170,476,3533,26,75,57,174
 동서천JC ~ 서부여 ,11854,254,1029,918,1160,20355,126,920,382,414
 서부여 ~ 부여 ,12993,284,1056,945,1190,22341,138,939,395,426
 부여 ~ 청양 ,14661,327,1131,1015,1245,24715,159,983,422,438
 청양 ~ 서공주 ,15234,340,1153,1035,1251,25821,168,1017,439,443
 서공주 ~ 서공주JC ,17446,421,1233,1106,1368,28093,197,1062,458,473
 서평택JC ~ 장안본선 ,37374,2701,5517,4816,8186,49537,673,2735,1368,2510
 장안본선 ~ 조암 ,37374,2701,5517,4816,8186,49537,673,2735,1368,2510
 조암 ~ 송산마도 ,32978,2207,4776,4185,7464,47220,572,2600,1244,2314
 송산마도 ~ 남안산 ,28403,1813,4208,3648,6501,42729,492,2474,1107,2002
 남안산 ~ 서시흥 ,20365,930,2872,2154,4487,35141,298,2146,722,1468
 서오산JC ~ 서오산 ,6038,221,234,139,147,4980,67,124,42,52
 익산JC ~ 완주 ,25953,602,1562,1528,3373,39605,285,1328,509,1064
 완주 ~ 완주JC ,27798,740,2002,2141,5017,41716,345,1546,697,1623
 완주JC ~ 소양 ,12250,368,893,1070,2037,16378,159,525,322,643
 회덕JC ~ 북대전 ,75400,1939,4027,3892,4403,82270,807,2868,1390,1483
 북대전 ~ 유성JC ,68495,1882,3670,4046,4576,76962,778,2528,1463,1571
 유성JC ~ 유성 ,59661,1868,3036,3220,2941,67206,796,2083,1239,1067
 유성 ~ 서대전JC ,49929,1676,2910,2962,2865,57926,706,1905,1115,1012
 서대전JC ~ 계룡 ,40565,1603,2980,3185,2897,52166,635,1983,1192,1007
 계룡 ~ 양촌 ,38777,1426,2791,3006,2748,50993,577,1916,1122,962
 양촌 ~ 논산 ,38032,1430,2790,3006,2758,49772,578,1913,1121,969
 논산 ~ 논산JC ,33598,1288,2483,2922,2708,45901,533,1768,1092,914
 서대전JC ~ 서대전 ,34783,1138,1279,992,1047,38210,497,713,392,431
 서대전 ~ 안영 ,31753,1038,1235,1178,1102,33227,422,654,475,458
 안영 ~ 산내JC ,31375,1002,1194,1125,1017,33166,379,638,456,409
 낙동강JC ~ 낙동JC ,17455,548,2003,2697,3621,24236,195,1466,852,1240
 낙동JC ~ 도개 ,15756,470,1821,2332,3366,22393,171,1431,749,1171
 도개 ~ 서군위 ,15119,447,1781,2278,3349,21746,165,1419,734,1168
 서군위 ~ 동군위JC ,15250,449,1782,2279,3339,21953,166,1420,735,1166
 동군위JC ~ 동군위 ,18889,516,2054,2458,4378,29144,206,1695,807,1659
 동군위 ~ 신녕 ,18704,516,2053,2460,4394,28915,205,1690,806,1665
 신녕 ~ 신녕JC ,17986,468,1925,2209,4195,28108,190,1646,714,1580
 신녕JC ~ 동영천 ,13290,380,1698,1996,3014,20524,146,1432,634,1157
 동영천 ~ 영천JC ,13169,381,1683,1978,2994,20463,146,1424,630,1138
 영천JC ~ 북안 ,13944,413,1769,2210,3181,21927,162,1458,721,1239
 북안 ~ 북안JC ,13942,413,1769,2210,3181,21924,162,1458,721,1239
 동군위JC ~ 군위출구JC ,2672,60,167,142,524,4541,26,153,46,237
 군위출구JC ~ 가산JC ,3785,95,220,192,636,5563,39,167,68,287
 신녕JC ~ 화산출구JC ,2189,40,116,103,453,3355,20,106,41,183
 화산출구JC ~ 북영천JC ,2459,50,124,121,513,3827,25,111,50,202
 가산JC ~ 군위입구JC ,3833,99,216,190,622,6322,43,183,71,289
 군위입구JC ~ 동군위JC ,3833,99,216,190,622,6321,43,183,71,289
 북영천JC ~ 화산입구JC ,2507,48,111,109,728,4229,24,107,39,240
 화산입구JC ~ 신녕JC ,2507,48,111,110,728,4229,24,107,39,240
 남광명 ~ 동시흥 ,14356,307,281,246,142,15199,112,150,89,46
 동시흥 ~ 남군포 ,33036,1158,1233,807,564,32326,366,672,255,182
 남군포 ~ 동안산당수 ,37473,1314,1369,976,688,36438,430,728,315,229
 동안산당수 ~ 금곡 ,37473,1314,1369,976,688,36438,430,728,315,229
 금곡 ~ 봉담 ,37473,1314,1369,976,688,36438,430,728,315,229
 봉담 ~ 정남 ,47911,1717,1942,1334,1094,47511,562,1125,441,350
 정남 ~ 서오산JC ,45423,1634,1912,1324,1081,46310,553,1122,441,347
 서오산JC ~ 북오산 ,45283,1793,2928,1596,1590,43290,600,1790,511,537
 북오산 ~ 동탄 ,56632,2187,3440,1852,1800,54710,740,2154,589,618
 동탄 ~ 동탄JC ,56702,2188,3442,1854,1801,54778,741,2155,589,619
 서대구JC ~ 남대구JC ,47276,1982,2434,2045,3501,50146,736,1301,716,1196
 남대구JC ~ 유천JC ,103444,3887,4944,3084,5025,105992,1468,3089,1158,1774
 유천JC ~ 화원옥포 ,89759,3518,4867,3075,4999,94698,1328,3055,1155,1763
 화원옥포 ~ 옥포JC ,76242,3012,4637,2944,4867,85782,1116,2951,1107,1664
 옥포JC ~ 달성JC ,47828,2034,2964,1796,3016,49105,687,1641,651,948
 달성JC ~ 북현풍JC ,39160,1481,2192,1480,2763,43770,510,1360,566,870
 북현풍JC ~ 현풍JC ,35255,1411,2144,1480,2753,40139,482,1322,566,866
 달성JC ~ 달성 ,8668,553,772,316,254,5334,177,280,86,78
 북현풍JC ~ 북현풍 ,3905,70,48,1,9,3632,28,38,,5
 남대구 ~ 남대구JC ,56168,1905,2510,1039,1525,55846,732,1788,442,578
 유천 ~ 유천JC ,13685,369,77,9,26,11293,140,34,3,11
 양산JC ~ 남양산 ,71948,3911,4311,2901,5923,80240,1579,2309,896,1647
 남양산 ~ 물금 ,63857,4257,4478,3221,6302,70772,1656,2299,975,1784
 물금 ~ 대동JC ,78915,4757,4927,3893,7285,84190,1872,2456,1234,2173
 대동JC ~ 대감JC ,81361,4135,4133,3643,7954,97500,1614,2438,1127,2302
 대감JC ~ 대동 ,101693,4080,3725,3346,10092,108797,1469,1970,995,2944
 대동JC ~ 김해JC ,25310,1310,1449,956,1184,26714,566,660,342,343
 무안공항 ~ 북무안 ,1845,19,59,15,30,2525,15,55,8,14
 북무안 ~ 함평JC ,6185,136,264,235,251,8751,90,226,141,129
 함평JC ~ 동함평 ,25444,681,940,617,1629,30630,331,697,324,577
 동함평 ~ 문평 ,30995,753,1068,689,1589,36605,363,779,352,562
 문평 ~ 나주 ,31860,764,1087,701,1446,37489,368,786,356,490
 나주 ~ 서광산 ,33666,791,1107,766,1470,39127,380,794,389,504
 서광산 ~ 동광산 ,38758,911,1260,879,1401,42814,444,930,426,480
 완주JC ~ 동전주 ,16462,391,1136,1091,3001,26539,194,1051,384,990
 동전주 ~ 상관 ,14803,347,1090,1074,3037,23084,170,1005,377,1012
 상관 ~ 임실 ,18912,410,1173,1184,3781,28419,200,1044,437,1397
 임실 ~ 오수 ,18440,413,1155,1184,3803,27896,205,1039,434,1404
 오수 ~ 북남원 ,14704,330,928,1058,3660,23024,166,872,381,1333
 북남원 ~ 남원JC ,14239,321,903,1048,3787,22374,164,856,375,1411
 남원JC ~ 서남원 ,14611,345,933,1042,3821,23594,175,896,385,1433
 서남원 ~ 구례화엄사 ,14072,306,875,1018,3931,22689,166,859,367,1468
 구례화엄사 ~ 황전 ,12104,254,783,948,4128,19220,132,746,335,1561
 황전 ~ 순천2JC ,13927,286,812,962,4247,21561,153,772,343,1614
 순천2JC ~ 동순천 ,9449,184,572,597,2015,14488,96,546,210,805
 기장일광 ~ 기장일광입구 ,25990,786,963,1253,5160,32428,270,366,400,1573
 기장일광입구 ~ 일광JC ,29947,858,982,1256,5165,36849,302,382,401,1574
 일광JC ~ 기장서JC ,18689,529,553,615,2850,23526,198,229,203,884
 기장서JC ~ 철마JC ,18625,529,564,622,2845,23574,198,233,205,884
 철마JC ~ 기장철마 ,35697,937,967,1058,5170,45324,354,447,375,1596
 기장철마 ~ 금정 ,38631,1244,1202,1241,5023,46454,452,512,434,1595
 금정 ~ 노포JC ,38817,1496,1418,1452,5324,45423,515,580,486,1697
 노포JC ~ 김해가야휴게소 ,30093,1171,1153,1087,4788,35180,360,463,327,1528
 김해가야휴게소 ~ 대감JC ,50394,1776,1722,1477,5338,57349,609,821,499,1735
 대감JC ~ 광재 ,68158,1927,2356,2081,4876,76964,702,1325,696,1810
 광재 ~ 한림 ,61256,1791,2235,2004,4292,71636,666,1254,640,1485
 한림 ~ 진영 ,58313,1554,1971,1826,3920,70024,605,1174,580,1351
 진영 ~ 진영휴게소JC ,54188,1439,2015,1936,4126,65293,571,1225,624,1442
 진영휴게소JC ~ 진영JC ,54150,1437,2015,1934,4124,65259,571,1225,624,1441
 철마JC ~ 기장동JC ,10223,279,287,267,2135,12296,96,147,79,642
 기장동JC ~ 일광JC ,11258,329,429,641,2315,13323,104,153,199,690
 철마JC ~ 기장일광(KEC) ,6848,129,117,170,190,9454,60,66,91,70
 노포JC2 ~ 노포JC4 ,20610,604,569,390,550,22246,248,356,172,207
 노포JC4 ~ 김해가야휴게소 ,20610,604,569,390,550,22246,248,356,172,207
 진영휴게소 ~ 진영휴게소JC ,38,2,1,2,2,35,,,,1
 광재 ~ 진영 ,57453,1671,2064,1878,4064,68263,655,1265,622,1455
